year,percentile_90,extent
2001,761.0627,56000000.0
2002,870.3757,65500000.0
2003,786.91113,51500000.0
2004,787.9559,59500000.0
2005,797.50555,74250000.0
2006,789.39465,68500000.0
2007,816.6072,80250000.0
2008,801.77655,69500000.0
2009,786.7886,59500000.0
2010,852.99677,91000000.0
2011,800.44995,82750000.0
2012,848.8775,97000000.0
2013,766.032,55250000.0
2014,779.7782,62250000.0
2015,739.82275,48000000.0
2016,825.91327,74000000.0
2017,771.39014,58750000.0
2018,746.2382,53750000.0
2019,752.62085,58500000.0
2020,745.83966,56000000.0
2021,789.9661,67500000.0
2022,764.422,61500000.0
2023,793.2046,70750000.0
2024,749.0019,61000000.0
2025,766.341,52500000.0
